"K","t","L","Y"
5684549.5,1950,62068,2273.435
7012460,1951,62457,2398.105
7305345.5,1952,62621,2526.359
7621198.5,1953,62795,2539.786
7925134,1954,63312,2609.272
8265726,1955,66445,2780.762
8603746,1956,66700,2836.238
8926616,1957,67398,2846.446
9210734,1958,67740,2922.264
9560204,1959,68994,3055.104
9898476,1960,70395,3081.3
10916100,1961,70077,3277.717
11325772,1962,70854,3418.046
11772312,1963,72188,3594.954
12272174,1964,73465,3780.219
13106078,1965,75093,4100.631
13722319,1966,76641,4285.582
14296026,1967,78491,4401.233
14888506,1968,79463,4619.803
15472193,1969,81624,4715.469
15973745,1970,83670,4708.281
16485769,1971,85625,4914.261
17084226,1972,87943,5251.226
17751130,1973,90890,5462.397
18319176,1974,92780,5357.166
18749454,1975,94409,5494.446
19258246,1976,97348,5732.462
19880752,1977,100491,6018.218
20621346,1978,103809,6420.288
21398030,1979,106258,6503.874
22033664,1980,107352,6501.184
22647426,1981,108912,6585.127
23128434,1982,111083,6493.128
23675252,1983,112327,7001.489
24426868,1984,114581,7396.019
25249576,1985,116354,7712.624
26067404,1986,118611,7939.45
26866096,1987,120729,8292.687
27655804,1988,122622,8610.85
28460168,1989,124497,8850.23
29208680,1990,126142,8907.363
29807550,1991,126664,9016.444
30447546,1992,128554,9406.528
31142584,1993,129941,9653.509
31914478,1994,131951,10052.518
32739804,1995,132511,10281.246
33669852,1996,135113,10739.057
34694972,1997,137155,11210.329
35854404,1998,138634,11770.686
37122332,1999,140177,12323.336
38439588,2000,143248,12679.338
39627500,2001,144305,12705.269
40679832,2002,145066,12964.016
41793136,2003,146729,13528.71
43024076,2004,148059,13950.376
44360180,2005,150030,14373.438
45671960,2006,152732,14716.93
46844308,2007,153918,14991.784
47779440,2008,154655,14576.985
48245684,2009,153111,14541.901
48728140,2010,153650,14939.001
49279028,2011,153995,15190.255
49960604,2012,155628,15384.254
50633788,2013,155182,15793.928
51190644,2014,156301,16220.222
